NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT05552859,Gla-300 and IDeg-100 in Insulin-Naïve People With Type 2 Diabetes Mellitus and Renal Impairment,https://clinicaltrials.gov/study/NCT05552859,TERMINATED,Type 2 Diabetes Mellitus|Renal Impairment,DRUG: Insulin glargine 300 U/mL|DRUG: Insulin degludec 100 U/mL,Sanofi,,INTERVENTIONAL,2023-08-04
NCT05413369,iGlarLixi vs IDegAsp in Chinese Participants After OAD(s),https://clinicaltrials.gov/study/NCT05413369,COMPLETED,Type 2 Diabetes Mellitus,DRUG: Insulin glargine/Lixisenatide|DRUG: IDegAsp|DRUG: Metformin|DRUG: SGLT2 inhibitor,Sanofi,,INTERVENTIONAL,2023-10-20
NCT05179603,A Study of SAR444245 With or Without Other Anticancer Therapies for the Treatment of Adults and Adolescents With Relapsed or Refractory B Cell Lymphoma (Master Protocol) [Pegathor Lymphoma 205],https://clinicaltrials.gov/study/NCT05179603,TERMINATED,Classic Hodgkin Lymphoma|Diffuse Large B-cell Lymphoma,DRUG: THOR-707|DRUG: Pembrolizumab,Sanofi,Merck Sharp & Dohme LLC,INTERVENTIONAL,2024-09-06
NCT05137041,Efficacy and Safety of FIRTECH in Patients With Mild to Moderate Acute Low Back Pain,https://clinicaltrials.gov/study/NCT05137041,COMPLETED,Low Back Pain,DEVICE: ITP FIRTECH,Sanofi,,INTERVENTIONAL,2022-11-22
NCT05132569,Efficacy and Safety of Tolebrutinib (SAR442168) Tablets in Adult Participants With Generalized Myasthenia Gravis,https://clinicaltrials.gov/study/NCT05132569,TERMINATED,Myasthenia Gravis,DRUG: Tolebrutininb|DRUG: Placebo,Sanofi,,INTERVENTIONAL,2023-02-21
NCT05132127,Sutimlimab (BIVV009) for the Adult Participants With Cold Agglutinin Disease (CAD) Who Have Completed Phase 3 Studies (CARDINAL or CADENZA) in Japan,https://clinicaltrials.gov/study/NCT05132127,COMPLETED,Cold Agglutinin Disease,DRUG: sutimlimab,Sanofi,,INTERVENTIONAL,2022-11-15
NCT05128773,"Study of Amcenestrant (SAR439859) Versus Tamoxifen for Patients With Hormone Receptor-positive (HR+) Early Breast Cancer, Who Have Discontinued Adjuvant Aromatase Inhibitor Therapy Due to Treatment-related Toxicity",https://clinicaltrials.gov/study/NCT05128773,TERMINATED,Breast Cancer,DRUG: Amcenestrant|DRUG: Tamoxifen|DRUG: Amcenestrant-matching placebo|DRUG: Tamoxifen-matching placebo,Sanofi,"Breast International Group|Alliance Foundation Trials, LLC.|European Organisation for Research and Treatment of Cancer - EORTC",INTERVENTIONAL,2022-10-13
NCT05114590,Effect of Soliqua 100/33 on Time in Range From Continuous Glucose Monitoring in Insulin-naive Patients With Very Uncontrolled Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT05114590,COMPLETED,Type 2 Diabetes Mellitus,DRUG: Insulin glargine/Lixisenatide,Sanofi,,INTERVENTIONAL,2023-04-14
NCT05104567,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With Gastrointestinal Cancer (Master Protocol) (Pegathor Gastrointestinal 203),https://clinicaltrials.gov/study/NCT05104567,COMPLETED,Oesophageal Squamous Cell Carcinoma|Gastric Cancer|Hepatocellular Carcinoma|Colorectal Cancer|Oesophageal Adenocarcinoma,DRUG: THOR-707|DRUG: Pembrolizumab|DRUG: Cetuximab,Sanofi,Merck Sharp & Dohme LLC,INTERVENTIONAL,2024-09-09
NCT05071053,Tusamitamab Ravtansine (SAR408701) in Combination With Ramucirumab in Pretreated Participants With Gastric Cancer,https://clinicaltrials.gov/study/NCT05071053,TERMINATED,Adenocarcinoma Gastric|Gastrooesophageal Cancer,DRUG: Ramucirumab (CYRAMZA®)|DRUG: Tusamitamab ravtansine (SAR408701),Sanofi,,INTERVENTIONAL,2024-11-05
